Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_range_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_range_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_tcpflags_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,long,Regression,ft_sytem_bootup_logging_debug,test_ft_sytem_bootup_logging_debug
Arlo+,long,Regression,ft_sys_hard_reboot_multiple_iter,test_ft_sys_hard_reboot_multiple_iter
Arlo+,long,Regression,ft_sys_soft_reboot_multiple_iter,test_ft_sys_soft_reboot_multiple_iter
Arlo+,long,Regression,ft_sys_show_reboot_cause,test_ft_sys_hard_reboot_multiple_iter
Arlo+,long,Regression,FtFpSoQoSCoSCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosAclCmFn002,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosEcnCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosWredCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosAclCmFn001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_acl_configvalues_save_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,daily,Regression,FtOpSoSyInIpFn002,test_ft_port_fn_verify_shut_noshut
Arlo+,daily,Regression,ft_ipv4_acl_loader_add,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoSySnFn017,test_ft_snmp_ipAddressStorageType_ipv6
Arlo+,daily,Regression,FtOpSoSySnFn020,test_ft_snmp_ipv6_If_Forward_default_HopLimit
Arlo+,daily,Regression,ft_ipv6_ndp_clear_cache,test_ft_ipv6_neighbor_entry
Arlo+,daily,Regression,ft_ipv6_neighbor_static_entry,test_ft_ipv6_neighbor_entry
Arlo+,daily,Regression,ft_ip_static_ip_on_mgmt_intrf,test_ft_ip_static_ip_on_mgmt_intrf
Arlo+,daily,Regression,FtOpSoSySnFn016,test_ft_snmp_ipAddressRowStatus_ipv6
Arlo+,daily,Regression,FtOpSoSySnFn021,test_ft_snmp_ipv6scope_index_table
Arlo+,daily,Regression,ft_bgp_update_delay_timer,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOpSoSwLagFn005,test_ft_lag_l3_hash_sip_dip_l4port
Arlo+,daily,Regression,FtOpSoSwLagFn010,test_ft_member_state_after_interchanged_the_members_across_portchannels
Arlo+,daily,Regression,FtOpSoSwVlFn010,test_ft_untagged_traffic_on_portchannel
Arlo+,daily,Regression,FtOtSoRtBgpPlFn032,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOtSoRtBgp4Fn070,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOtSoRtBgp4Fn069,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOpSoQosAclFn156,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,FtOpSoQosAclFn157,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_rule_update_full,test_ft_acl_loader
Arlo+,daily,Regression,ft_acl_v4_rule_update_incremental,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoQosAclFn160,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoQoSCosFn001,test_ft_cos_tc_queue_map
Arlo+,daily,Regression,FtOpSoQsWdFn012,test_ft_wred_functionality
Arlo+,daily,Regression,FtOpSoQosAclFn093,test_ft_acl_ingress_ipv6_l3_forwarding
Arlo+,daily,Regression,FtOpSoQosAclFn096,test_ft_acl_ingress_ipv6_l3_forwarding
Arlo+,daily,Regression,FtOpSoQosAclFn098,test_ft_acl_ingress_ipv6_l3_forwarding
