Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdNe001,test_traffic_types
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdNe002,test_stp_mac_move
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdNe003,test_bum_traffic
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdPe001,test_l2fwd_config_reload
Arlo+,daily,BFD,FtOpSoRoBfdFn001,test_FtOpSoRoBfdFn001_60_61
Arlo+,daily,BFD,FtOpSoRoBfdFn060,test_FtOpSoRoBfdFn001_60_61
Arlo+,daily,BFD,FtOpSoRoBfdFn063,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn065,test_bfd_lag_004
Arlo+,daily,BFD,FtOpSoRoBfdFn021,test_FtOpSoRoBfdFn055_52_56_57_21
Arlo+,daily,BFD,FtOpSoRoBfdFn022,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn024,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn025,test_FtOpSoRoBfdFn036_37_38_40_25
Arlo+,daily,BFD,FtOpSoRoBfdFn026,test_FtOpSoRoBfdFn035_26
Arlo+,daily,BFD,FtOpSoRoBfdFn027,test_bfd_lag_004
Arlo+,daily,BFD,FtOpSoRoBfdFn028,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn029,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn030,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn031,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn032,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn033,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn034,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn035,test_FtOpSoRoBfdFn035_26
Arlo+,daily,BFD,FtOpSoRoBfdFn036,test_FtOpSoRoBfdFn036_37_38_40_25
Arlo+,daily,BFD,FtOpSoRoBfdFn037,test_FtOpSoRoBfdFn036_37_38_40_25
Arlo+,daily,BFD,FtOpSoRoBfdFn038,test_FtOpSoRoBfdFn036_37_38_40_25
Arlo+,daily,BFD,FtOpSoRoBfdFn039,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn040,test_FtOpSoRoBfdFn036_37_38_40_25
Arlo+,daily,BFD,FtOpSoRoBfdFn003,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn004,test_bfd_lag_003
Arlo+,daily,BFD,FtOpSoRoBfdFn005,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn006,test_bfd_lag_003
Arlo+,daily,BFD,FtOpSoRoBfdFn007,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdFn008,test_bfd_lag_004
Arlo+,daily,BFD,FtOpSoRoBfdFn009,test_FtOpSoRoBfdFn009
Arlo+,daily,BFD,FtOpSoRoBfdFn010,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn011,test_FtOpSoRoBfdFn011_20
Arlo+,daily,BFD,FtOpSoRoBfdFn012,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn013,test_bfd_lag_003
Arlo+,daily,BFD,FtOpSoRoBfdFn014,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn015,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn016,test_bfd_lag_003
Arlo+,daily,BFD,FtOpSoRoBfdFn017,test_bfd_lag_004
Arlo+,daily,BFD,FtOpSoRoBfdFn018,test_bfd_lag_004
Arlo+,daily,BFD,FtOpSoRoBfdFn019,test_FtOpSoRoBfdFn019
Arlo+,daily,BFD,FtOpSoRoBfdFn020,test_FtOpSoRoBfdFn011_20
Arlo+,daily,BFD,FtOpSoRoBfdNe087,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdPe089,test_FtOpSoRoBfdFn089
Arlo+,daily,BFD,FtOpSoRoBfdFn067,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn068,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn069,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn070,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn072,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn073,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn075,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn076,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn077,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn078,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn079,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn081,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn082,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdFn084,test_bfd_lag_002
Arlo+,daily,BFD,FtOpSoRoBfdSt090,test_FtOpSoRoBfdFn090_92_93
Arlo+,daily,BFD,FtOpSoRoBfdSt091,test_bfd_lag_001
Arlo+,daily,BFD,FtOpSoRoBfdSt092,test_FtOpSoRoBfdFn090_92_93
Arlo+,daily,BFD,FtOpSoRoBfdSt093,test_FtOpSoRoBfdFn090_92_93
Arlo+,daily,BFD,FtOpSoRoBfdSt094,test_FtOpSoRoBfdFn094
Arlo+,daily,BFD,FtOpSoRoBfdFn051,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn052,test_FtOpSoRoBfdFn055_52_56_57_21
Arlo+,daily,BFD,FtOpSoRoBfdFn053,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn054,test_FtOpSoRoBfdFn003_12_10_15_51_53_54
Arlo+,daily,BFD,FtOpSoRoBfdFn055,test_FtOpSoRoBfdFn055_52_56_57_21
