Vendor	pipeline_name	TESTBED_NAME	Sun-0	Mon-1	Tue-2	Wed-3	Thu-4	Fri-5	Sat-6	TESTBED_SPECIFIC	Coverage	cron	NIGHTLY_TEST_TIMEOUT	SKIP_SCRIPTS	AGENT_POOL	CROSS_BRANCH_BASE_URL	TEST_IN_BRANCH_UPGRADE	ALWAYS_POWER_CYCLE_DUTS	ENABLE_DATAACL	SKIP_TEST_RESULTS_UPLOADING	PREV_IMAGE_URL	
Mellanox	vms1-8-t1-2700	vms1-8	202205		202205		202205	202205		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"	Non-platform	0 2										
Mellanox	vms1-8-t1-2700	vms1-8		201911		201911					full	0 2										
Mellanox	vms1-t1-2700-platform_tests	vms1-t1-2700	202205	internal	202205	202205	202205	master		-I "platform_tests copp show_techport acl everflow drop_packets"'	Platform	10 4										
Mellanox	vms7-t0-4600c-2	vms7-t0-4600c-2	202205	internal	202205	202205	202205	master		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"	Non-platform	0 14	1920	"vrf/test_vrf.py vrf/test_vrf_attr.py"								
Mellanox	vms12-t0-3800-platform_tests	vms12-t0-3800	202205	internal	202205	202205	201911	master		-I "platform_tests copp show_techport acl everflow drop_packets"'	Platform	0 4	1800									
Mellanox	vms18-t1-msn4600c-acs-1	vms18-t1-msn4600c-acs-1	202205	internal	202205	202205	202205	master		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"	Non-platform	0 4		"platform_tests/test_auto_negotiation.py"								
Mellanox	vms20-t0-sn3800-2	vms20-t0-sn3800-2	202205		202205		201911	202205		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"	Non-platform	0 4	1800									
Mellanox	vms20-t0-sn3800-2-metadata_tests	vms20-t0-sn3800-2		201911		201911				-I "metadata-scripts platform_tests/test_advanced_reboot.py"'	Advanced reboot	0 4	1380	"""platform_tests/test_reboot.py::test_fast_reboot, \
              platform_tests/test_advanced_reboot.py::test_fast_reboot, \
              platform_tests/test_advanced_reboot.py::test_cancelled_fast_reboot"""			TRUE					
Mellanox	vms21-t0-2700-non-platform_tests	vms21-t0-2700	202205	internal	202205	202205	201911	master		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"	Non-platform	0 4	1800									
Mellanox	vms21-t1-2700-2-non-platform_tests	vms21-t1-2700-2	202205	internal	202205	202205	202205	master		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"'	Non-platform	0 4										
Mellanox	vms28-t0-4600c-03-platform_tests	vms28-t0-4600c-03	202205	internal	202205	202205	202205	master		-I "platform_tests copp show_techport acl everflow drop_packets"'	Platform	0 14	1920	"vrf/test_vrf.py vrf/test_vrf_attr.py"								
Mellanox	vms28-t0-4600c-04-non-platform_tests	vms28-t0-4600c-04	202205	internal	202205	202205	202205	master		-S "sub_port_interfaces platform_tests copp show_techport acl everflow drop_packets"'	Non-platform	0 0	1920	"vrf/test_vrf.py vrf/test_vrf_attr.py"								
